chart_week,title,performer
2017-05-20,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne"
2017-05-27,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-09-16,Look What You Made Me Do,Taylor Swift
2017-10-07,Bodak Yellow (Money Moves),Cardi B
2017-10-28,Rockstar,Post Malone Featuring 21 Savage
2017-12-23,Perfect,Ed Sheeran
2018-01-27,Havana,Camila Cabello Featuring Young Thug
2018-02-03,God's Plan,Drake
2018-04-21,Nice For What,Drake
2018-05-19,This Is America,Childish Gambino
2018-06-16,Psycho,Post Malone Featuring Ty Dolla $ign
2018-06-30,Sad!,XXXTENTACION
2018-07-07,I Like It,"Cardi B, Bad Bunny & J Balvin"
2018-07-21,In My Feelings,Drake
2018-09-29,Girls Like You,Maroon 5 Featuring Cardi B
2018-11-17,"Thank U, Next",Ariana Grande
2018-12-08,Sicko Mode,Travis Scott
2019-01-12,Without Me,Halsey
2019-01-19,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
2019-02-02,7 Rings,Ariana Grande
2019-03-09,Shallow,Lady Gaga & Bradley Cooper
2019-03-16,Sucker,Jonas Brothers
2019-04-13,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-08-24,Bad Guy,Billie Eilish
2019-08-31,Senorita,Shawn Mendes & Camila Cabello
2019-09-07,Truth Hurts,Lizzo
2019-10-19,HIGHEST IN THE ROOM,Travis Scott
2019-11-02,Someone You Loved,Lewis Capaldi
2019-11-09,Lose You To Love Me,Selena Gomez
2019-11-30,Circles,Post Malone
2019-12-14,Heartless,The Weeknd
2020-01-18,The Box,Roddy Ricch
2020-04-04,Blinding Lights,The Weeknd
2020-04-18,Toosie Slide,Drake
2020-05-09,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi"
2020-05-16,Say So,Doja Cat Featuring Nicki Minaj
2020-05-23,Stuck With U,Ariana Grande & Justin Bieber
2020-05-30,Savage,Megan Thee Stallion
2020-06-06,Rain On Me,Lady Gaga & Ariana Grande
2020-06-13,Rockstar,DaBaby Featuring Roddy Ricch
2020-06-27,Trollz,6ix9ine & Nicki Minaj
2020-08-08,Cardigan,Taylor Swift
2020-08-15,Watermelon Sugar,Harry Styles
2020-08-22,WAP,Cardi B Featuring Megan Thee Stallion
2020-09-05,Dynamite,BTS
2020-10-10,Franchise,Travis Scott Featuring Young Thug & M.I.A.
2020-10-17,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
2020-10-24,Mood,24kGoldn Featuring iann dior
2020-11-07,Positions,Ariana Grande
2020-12-05,Life Goes On,BTS
2020-12-26,Willow,Taylor Swift
2021-01-23,Drivers License,Olivia Rodrigo
2021-03-20,What's Next,Drake
2021-03-27,Up,Cardi B
2021-04-03,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
2021-04-10,Montero (Call Me By Your Name),Lil Nas X
2021-04-17,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak)
2021-04-24,Rapstar,Polo G
2021-05-08,Save Your Tears,The Weeknd & Ariana Grande
2021-05-29,Good 4 U,Olivia Rodrigo
2021-06-05,Butter,BTS
2021-07-24,Permission To Dance,BTS
2021-08-14,Stay,The Kid LAROI & Justin Bieber
2021-09-18,Way 2 Sexy,Drake Featuring Future & Young Thug
2021-10-09,My Universe,Coldplay x BTS
2021-10-23,Industry Baby,Lil Nas X & Jack Harlow
1977-01-08,You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr."
1977-01-15,You Make Me Feel Like Dancing,Leo Sayer
1977-01-22,I Wish,Stevie Wonder
1977-01-29,Car Wash,Rose Royce
1977-02-05,Torn Between Two Lovers,Mary Macgregor
1977-02-19,Blinded By The Light,Manfred Mann's Earth Band
1977-02-26,New Kid In Town,Eagles
2021-11-27,All Too Well (Taylor's Version),Taylor Swift
