chart_week,title,performer
1965-05-29,"Help Me, Rhonda",The Beach Boys
1965-06-12,Back In My Arms Again,The Supremes
1965-06-19,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops
1965-06-26,Mr. Tambourine Man,The Byrds
1965-07-10,(I Can't Get No) Satisfaction,The Rolling Stones
1965-08-07,"I'm Henry VIII, I Am",Herman's Hermits
1965-08-14,I Got You Babe,Sonny & Cher
1965-09-04,Help!,The Beatles
1965-09-25,Eve Of Destruction,Barry McGuire
1965-10-02,Hang On Sloopy,The McCoys
1965-10-09,Yesterday,The Beatles
1965-11-06,Get Off Of My Cloud,The Rolling Stones
1965-11-20,I Hear A Symphony,The Supremes
1965-12-04,Turn! Turn! Turn! (To Everything There Is A Season),The Byrds
1965-12-25,Over And Over,The Dave Clark Five
1966-01-01,The Sound Of Silence,Simon & Garfunkel
1966-01-08,We Can Work It Out,The Beatles
1966-02-05,My Love,Petula Clark
1966-02-19,Lightnin' Strikes,Lou Christie
1966-02-26,These Boots Are Made For Walkin',Nancy Sinatra
1966-03-05,The Ballad Of The Green Berets,SSgt Barry Sadler
1966-04-09,(You're My) Soul And Inspiration,The Righteous Brothers
1966-04-30,Good Lovin',The Young Rascals
1966-05-07,"Monday, Monday",The Mamas & The Papas
1966-05-28,When A Man Loves A Woman,Percy Sledge
1966-06-11,"Paint It, Black",The Rolling Stones
1966-06-25,Paperback Writer,The Beatles
1966-07-02,Strangers In The Night,Frank Sinatra
1966-07-16,Hanky Panky,Tommy James And The Shondells
1966-07-30,Wild Thing,The Troggs
1966-08-13,Summer In The City,The Lovin' Spoonful
1966-09-03,Sunshine Superman,Donovan
1966-09-10,You Can't Hurry Love,The Supremes
1966-09-24,Cherish,The Association
1966-10-15,Reach Out I'll Be There,Four Tops
1966-10-29,96 Tears,? (Question Mark) & The Mysterians
1966-11-05,Last Train To Clarksville,The Monkees
1966-11-12,Poor Side Of Town,Johnny Rivers
1966-11-19,You Keep Me Hangin' On,The Supremes
1966-12-03,Winchester Cathedral,The New Vaudeville Band
1966-12-10,Good Vibrations,The Beach Boys
1966-12-31,I'm A Believer,The Monkees
1967-02-18,Kind Of A Drag,The Buckinghams
1967-03-04,Ruby Tuesday,The Rolling Stones
1967-03-11,Love Is Here And Now You're Gone,The Supremes
1967-03-18,Penny Lane,The Beatles
1967-03-25,Happy Together,The Turtles
1967-04-15,Somethin' Stupid,Nancy Sinatra & Frank Sinatra
1967-05-13,The Happening,The Supremes
1967-05-20,Groovin',The Young Rascals
1967-06-03,Respect,Aretha Franklin
1967-07-01,Windy,The Association
1967-07-29,Light My Fire,The Doors
1967-08-19,All You Need Is Love,The Beatles
1967-08-26,Ode To Billie Joe,Bobbie Gentry
1967-09-23,The Letter,The Box Tops
1967-10-21,To Sir With Love,Lulu
1967-11-25,Incense And Peppermints,Strawberry Alarm Clock
1967-12-02,Daydream Believer,The Monkees
1967-12-30,Hello Goodbye,The Beatles
1968-01-20,Judy In Disguise (With Glasses),John Fred And The Playboys
1968-02-03,Green Tambourine,The Lemon Pipers
1968-02-10,Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra
1968-03-16,(Sittin' On) The Dock Of The Bay,Otis Redding
1968-04-13,Honey,Bobby Goldsboro
1968-05-18,Tighten Up,Archie Bell & The Drells
1968-06-01,Mrs. Robinson,Simon & Garfunkel
1968-06-22,This Guy's In Love With You,Herb Alpert
1968-07-20,Grazing In The Grass,Hugh Masekela
1968-08-03,"Hello, I Love You",The Doors
1968-08-17,People Got To Be Free,The Rascals
1968-09-21,Harper Valley P.T.A.,Jeannie C. Riley
1968-09-28,Hey Jude,The Beatles
1968-11-30,Love Child,Diana Ross & The Supremes
1968-12-14,I Heard It Through The Grapevine,Marvin Gaye
1969-02-01,Crimson And Clover,Tommy James And The Shondells
1969-02-15,Everyday People,Sly & The Family Stone
1969-03-15,Dizzy,Tommy Roe
1969-04-12,Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension
1969-05-24,Get Back,The Beatles With Billy Preston
1969-06-28,Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra
1969-07-12,In The Year 2525,Zager & Evans
1969-08-23,Honky Tonk Women,The Rolling Stones
1969-09-20,"Sugar, Sugar",The Archies
1969-10-18,I Can't Get Next To You,The Temptations
1969-11-01,Suspicious Minds,Elvis Presley
1969-11-08,Wedding Bell Blues,The 5th Dimension
1969-11-29,Come Together/Something,The Beatles
1969-12-06,Na Na Hey Hey Kiss Him Goodbye,Steam
1969-12-20,Leaving On A Jet Plane,"Peter, Paul & Mary"
1969-12-27,Someday We'll Be Together,Diana Ross & The Supremes
1970-01-03,Raindrops Keep Fallin' On My Head,B.J. Thomas
1970-01-31,I Want You Back,Jackson 5
1970-02-07,Venus,The Shocking Blue
1970-02-14,Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone
1970-02-28,Bridge Over Troubled Water,Simon & Garfunkel
1970-04-11,Let It Be,The Beatles
1970-04-25,ABC,Jackson 5
1970-05-09,American Woman/No Sugar Tonight,The Guess Who
1970-05-30,Everything Is Beautiful,Ray Stevens
1970-06-13,The Long And Winding Road/For You Blue,The Beatles
1970-06-27,The Love You Save/I Found That Girl,Jackson 5
1970-07-11,Mama Told Me (Not To Come),Three Dog Night
1970-07-25,(They Long To Be) Close To You,Carpenters
1970-08-22,Make It With You,Bread
1970-08-29,War,Edwin Starr
1970-09-19,Ain't No Mountain High Enough,Diana Ross
1970-10-10,Cracklin' Rosie,Neil Diamond
1970-10-17,I'll Be There,Jackson 5
1970-11-21,I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy
1970-12-12,The Tears Of A Clown,Smokey Robinson & The Miracles
1970-12-26,My Sweet Lord/Isn't It A Pity,George Harrison
1971-01-23,Knock Three Times,Dawn
1971-02-13,One Bad Apple,The Osmonds
1971-03-20,Me And Bobby McGee,Janis Joplin
1971-04-03,Just My Imagination (Running Away With Me),The Temptations
1971-04-17,Joy To The World,Three Dog Night
1971-05-29,Brown Sugar,The Rolling Stones
1971-06-12,Want Ads,The Honey Cone
1971-06-19,It's Too Late/I Feel The Earth Move,Carole King
1971-07-24,Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders
1971-07-31,You've Got A Friend,James Taylor
1971-08-07,How Can You Mend A Broken Heart,Bee Gees
1971-09-04,Uncle Albert/Admiral Halsey,Paul & Linda McCartney
1971-09-11,Go Away Little Girl,Donny Osmond
1971-10-02,Maggie May/Reason To Believe,Rod Stewart
1971-11-06,"Gypsys, Tramps & Thieves",Cher
1971-11-20,Theme From Shaft,Isaac Hayes
1971-12-04,Family Affair,Sly & The Family Stone
1971-12-25,Brand New Key,Melanie
1972-01-15,American Pie (Parts I & II),Don McLean
1972-02-12,Let's Stay Together,Al Green
1972-02-19,Without You,Nilsson
1972-03-18,Heart Of Gold,Neil Young
1972-03-25,A Horse With No Name,America
1972-04-15,The First Time Ever I Saw Your Face,Roberta Flack
1972-05-27,Oh Girl,The Chi-lites
1972-06-03,I'll Take You There,The Staple Singers
1972-06-10,The Candy Man,"Sammy Davis, Jr. with The Mike Curb Congregation"
1972-07-01,Song Sung Blue,Neil Diamond
1972-07-08,Lean On Me,Bill Withers
1972-07-29,Alone Again (Naturally),Gilbert O'Sullivan
1972-08-26,Brandy (You're A Fine Girl),Looking Glass
1972-09-16,Black & White,Three Dog Night
1972-09-23,Baby Don't Get Hooked On Me,Mac Davis
1972-10-14,Ben,Michael Jackson
1972-10-21,My Ding-A-Ling,Chuck Berry
1972-11-04,I Can See Clearly Now,Johnny Nash
1972-12-02,Papa Was A Rollin' Stone,The Temptations
1972-12-09,I Am Woman,Helen Reddy
1972-12-16,Me And Mrs. Jones,Billy Paul
1973-01-06,You're So Vain,Carly Simon
1973-01-27,Superstition,Stevie Wonder
1973-02-03,Crocodile Rock,Elton John
1973-02-24,Killing Me Softly With His Song,Roberta Flack
1973-03-24,Love Train,The O'Jays
1973-04-07,The Night The Lights Went Out In Georgia,Vicki Lawrence
1973-04-21,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando
1973-05-19,You Are The Sunshine Of My Life,Stevie Wonder
1973-05-26,Frankenstein,Edgar Winter Group
1973-06-02,My Love,Paul McCartney And Wings
1973-06-30,Give Me Love - (Give Me Peace On Earth),George Harrison
1973-07-07,Will It Go Round In Circles,Billy Preston
1973-07-21,"Bad, Bad Leroy Brown",Jim Croce
1973-08-04,The Morning After,Maureen McGovern
1973-08-18,Touch Me In The Morning,Diana Ross
